Persecution at School	Sukuu Ɔtae
Underground Activity	Esum Ase Adwumayɛ
I was put in the middle .	Wɔde me kogyinaa mfinimfini .
Never be obstinate .	Nsene wo kɔn da .
I began to cry again .	Mifii ase sui bio .
There was no playtime .	Ná yenni bere a yɛde di agoru .
Poignant Reunions	Nkabom Ahorow a Ɛyɛ Anigye
Again I ran to open it .	Mituu mmirika bio kobuee pon no .
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
A Sunshine Breakfast	Ɔto Awia Anɔpa
This is not laziness .	Eyi nkyerɛ sɛ wɔyɛ akwadworɔ .
It’s sheer necessity .	Ɛyɛ ade a ɛho hia ankasa .
‘ Love at First Scent ’	‘ Ehua a Edi Kan a Enya ne Dɔ ’
A Taste of Nectar	Nhwiren mu Nsunom
Journey’s End	Ne Nkwa Nna
[ Picture on page 16 ]	[ Kratafa 21 mfonini ]
Sunning in early morning	Ɔreto awia anɔpa
[ Picture on page 17 ]	[ Kratafa 22 mfonini ]
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
Let’s Eat Cassava !	Momma Yenni Bankye !
By Awake !	Efi Nyan !
correspondent in Nigeria	kyerɛwfo a ɔwɔ Nigeria hɔ
Have you eaten cassava ?	So woadi bankye pɛn ?
But do not be so sure !	Nanso nka sɛ wunnii bi koraa da !
Growing It Is Easy	Ne Dua Nyɛ Den
Dinnertime !	Adidi Bere !
What are some of them ?	Emu bi ne dɛn ?
Restrain Your Tongue !	Di Wo Tɛkrɛma So !
Subtle Disobedience	Anifere Kwan so Asoɔden
The Danger of Isolation	Asiane a Ɛwɔ Tew a Wobɛtew Wo Ho Mu
The Danger of Envy	Asiane a Ɛwɔ Anibere Mu
